PM2.5,AQI,Year_age_in_years,CO,City_Gurugram,City_Talcher,PM10,Month,NOx,Day,AQI_Bucket,City_Patna,City_Delhi,Date,City_Guwahati,City_Thiruvananthapuram,City_Lucknow,City_Shillong,City_Kolkata,City_Visakhapatnam,Year,Target,Linear_SVR_0
165.63,340.0,9,4.05,0,0,257.04,1,22.66,20,5,0,0,19,0,0,0,0,0,0,2015,165.63,165.62993567594876
159.54,338.0,9,9.01,0,0,235.27,1,33.02,21,5,0,1,20,0,0,0,0,0,0,2015,159.54,159.54026557079933
159.54,338.0,9,1.79,0,0,235.27,1,8.54,21,5,0,0,20,0,0,0,0,0,0,2015,159.54,159.54058940195975
159.54,338.0,9,9.52,0,0,235.27,1,39.28,21,5,0,0,20,0,0,0,0,0,0,2015,159.54,159.54066456414216
159.54,338.0,9,0.4,0,0,235.27,1,30.87,21,5,0,0,20,0,0,0,0,0,0,2015,159.54,159.53992770084116
159.54,338.0,9,0.0,0,0,235.27,1,25.04,21,5,0,0,20,0,0,0,0,0,0,2015,159.54,159.54024631746972
159.54,338.0,9,13.49,0,0,235.27,1,4.22,21,5,0,0,20,0,0,1,0,0,0,2015,159.54,159.54141580505666
159.54,338.0,9,18.3,0,0,235.27,1,18.26,21,5,0,0,20,0,0,0,0,0,0,2015,159.54,159.54085114561073
159.54,338.0,9,0.0,0,0,235.27,1,24.28,22,5,0,0,21,0,0,0,0,0,0,2015,159.54,159.54059113073174
159.54,338.0,9,3.32,0,0,235.27,1,29.6,22,5,0,0,21,0,0,0,0,0,0,2015,159.54,159.53994276387073
159.54,338.0,9,0.43,0,0,235.27,1,33.65,22,5,0,0,21,0,0,0,0,0,0,2015,159.54,159.54060173900484
143.68,332.0,9,10.58,0,0,183.89,1,34.88,22,5,0,1,21,0,0,0,0,0,0,2015,143.68,143.67986078650708
143.68,332.0,9,9.05,0,0,183.89,1,22.33,22,5,0,0,21,0,0,0,0,0,0,2015,143.68,143.6799632674869
143.68,332.0,9,1.43,0,0,183.89,1,8.85,22,5,0,0,21,0,0,0,0,0,0,2015,143.68,143.68062649064984
143.68,332.0,9,8.3,0,0,183.89,1,3.72,22,5,0,0,21,0,0,1,0,0,0,2015,143.68,143.68139250183734
128.73,254.0,9,8.74,0,0,136.07,1,29.46,23,2,0,1,22,0,0,0,0,0,0,2015,128.73,128.73015733082
128.73,254.0,9,22.53,0,0,136.07,1,47.79,23,2,0,0,22,0,0,0,0,0,0,2015,128.73,128.7301589011324
128.73,254.0,9,3.43,0,0,136.07,1,10.49,23,2,0,0,22,0,0,0,0,0,0,2015,128.73,128.72925152796688
128.73,254.0,9,0.0,0,0,136.07,1,26.51,23,2,0,0,22,0,0,0,0,0,0,2015,128.73,128.7292608956789
128.73,254.0,9,8.56,0,0,136.07,1,3.3,23,2,0,0,22,0,0,1,0,0,0,2015,128.73,128.72979407699412
128.73,254.0,9,5.04,0,0,136.07,1,12.0,23,2,0,0,22,0,0,0,0,0,0,2015,128.73,128.73004653640444
